Transect,Waypoint,Type,daylength,long,lat,on_off,speed,mode,distance_to_next,distance_cum,time_to_next,time_cum,leg,Region
51,51.2,Compulsory,13.20926328221436,-125.301568,42.995006,1,10,transit,15.08050104759688,3261.175194910693,0.12017484465180743,25.02678143096215,2,WA/OR
52,52.2,Compulsory,13.191384967371604,-125.253088,43.243883,1,9.5,survey,35.35310851588837,3296.5283034265813,0.282106833587407,25.30888826454956,2,WA/OR
52,52.1,Compulsory,13.191384967371604,-124.446922,43.246631,1,10,transit,16.556603041050504,3313.0849064676318,0.1321165536766102,25.44100481822617,2,WA/OR
53,53.1,Compulsory,13.173506652528847,-124.289166,43.497486,1,9.5,survey,43.02299580313595,3356.1079022707677,0.3437760741905985,25.784780892416766,2,WA/OR
53,53.2,Compulsory,13.173506652528847,-125.274254,43.492571,1,10,transit,14.99112410105041,3371.099026371818,0.11978686502318207,25.90456775743995,2,WA/OR
54,54.2,Compulsory,13.155628337686089,-125.307147,43.741312,1,9.5,survey,47.2488969061359,3418.3479232779537,0.37805629406048685,26.282624051500434,2,WA/OR
54,54.1,Compulsory,13.155628337686089,-124.220825,43.745751,1,10,transit,15.142416611353152,3433.490339889307,0.12116020229172168,26.403784253792157,2,WA/OR
55,55.1,Compulsory,13.137750022843331,-124.176589,43.996111,1,9.5,survey,47.783555685479634,3481.273895574787,0.3828545952044238,26.78663884899658,2,WA/OR
55,55.2,Compulsory,13.137750022843331,-125.279791,43.990482,1,10,transit,15.013942343669889,3496.2878379184567,0.12029571127447578,26.906934560271058,2,WA/OR
56,56.2,Compulsory,13.119871708000574,-125.250134,44.239813,1,9.5,survey,47.5398232299093,3543.8276611483657,0.3814207966596378,27.288355356930694,2,WA/OR
56,56.1,Compulsory,13.119871708000574,-124.147937,44.24692,1,10,transit,14.913532385580227,3558.741193533946,0.11965402933889223,27.408009386269587,2,WA/OR
57,57.1,Compulsory,13.101993393157816,-124.122777,44.494824,1,9.5,survey,48.76597780253721,3607.507171336483,0.3917923530628875,27.799801739332473,2,WA/OR
57,57.2,Compulsory,13.101993393157816,-125.258212,44.489085,1,10,transit,15.0481368295962,3622.5553081660796,0.12089873316090975,27.920700472493383,2,WA/OR
58,58.2,Compulsory,13.084115078315058,-125.297297,44.738319,1,9.5,survey,50.72733898071016,3673.2826471467897,0.4081070718765009,28.328807544369884,2,WA/OR
58,58.1,Compulsory,13.084115078315058,-124.111129,44.743775,1,10,transit,15.261555400039601,3688.544202546829,0.12278090693776754,28.451588451307654,2,WA/OR
59,59.1,Compulsory,13.0662367634723,-124.055868,44.995059,1,9.5,survey,53.6383784307778,3742.182580977607,0.43211715815228885,28.88370560945994,2,WA/OR
59,59.2,Compulsory,13.0662367634723,-125.315541,44.987819,1,10,transit,15.078095916876936,3757.260676894484,0.12147093459130158,29.005176544051242,2,WA/OR
60,60.2,Compulsory,13.048358448629545,-125.279894,45.237818,1,9.5,survey,53.392058404944564,3810.6527352994285,0.4307221246512412,29.435898668702485,2,WA/OR
60,60.1,Compulsory,13.048358448629545,-124.020519,45.244468,1,10,transit,15.105070941753953,3825.7578062411826,0.12185498074817559,29.55775364945066,2,WA/OR
61,61.1,Compulsory,13.030480133786787,-124.015894,45.496155,1,9.5,survey,55.31391638893811,3881.071722630121,0.44683829412608017,30.004591943576738,3,WA/OR
61,61.2,Compulsory,13.030480133786787,-125.326355,45.487458,1,10,transit,15.627741305676114,3896.6994639357968,0.12624441952312196,30.13083636309986,3,WA/OR
62,62.2,Compulsory,13.01260181894403,-125.226521,45.738262,1,9.5,survey,51.557778620341985,3948.257242556139,0.4170675985577308,30.547903961657592,3,WA/OR
62,62.1,Compulsory,13.01260181894403,-123.9996,45.746876,1,10,transit,14.96244628250377,3963.2196888386425,0.1210360823639283,30.66894004402152,3,WA/OR
63,63.1,Compulsory,12.994723504101271,-124.021862,45.9957,1,9.5,survey,58.31750119871733,4021.53719003736,0.47239822646242946,31.14133827048395,3,WA/OR
63,63.2,Compulsory,12.994723504101271,-125.415873,45.987233,1,10,transit,15.141421736003705,4036.6786117733636,0.12265238782839263,31.26399065831234,3,WA/OR
64,64.2,Compulsory,12.976845189258514,-125.376141,46.237996,1,9.5,survey,49.7271050764538,4086.4057168498175,0.40336707704918057,31.667357735361524,3,WA/OR
64,64.1,Compulsory,12.976845189258514,-124.182091,46.246658,1,10,transit,15.17158864173088,4101.577305491548,0.12306606940417429,31.790423804765698,3,WA/OR
65,65.1,Compulsory,12.958966874415756,-124.1942,46.499291,1,9.5,survey,40.97617346910908,4142.553478960657,0.3328414571624882,32.12326526192818,3,WA/OR
65,65.2,Compulsory,12.958966874415756,-125.182627,46.490149,1,10,transit,16.251756821567472,4158.805235782224,0.13200984777211644,32.2552751097003,3,WA/OR
66,66.2,Compulsory,12.941088559572998,-125.334411,46.739889,1,9.5,survey,47.04108188997468,4205.8463176722,0.3826334089075297,32.63790851860783,3,WA/OR
66,66.1,Compulsory,12.941088559572998,-124.194425,46.748174,1,10,transit,15.941167225665637,4221.787484897865,0.12966587740877136,32.767574396016606,3,WA/OR
67,67.1,Compulsory,12.923210244730242,-124.321823,46.998963,1,9.5,survey,49.954891120152496,4271.742376018017,0.40689654443556283,33.17447094045217,3,WA/OR
67,67.2,Compulsory,12.923210244730242,-125.538047,46.98935,1,10,transit,24.096075217763275,4295.838451235781,0.19626926454478774,33.370740204996956,3,WA/OR
68,68.2,Compulsory,12.905331929887485,-126.001062,47.236772,1,9.5,survey,65.70261365124364,4361.541064887025,0.5359075328276387,33.90664773782459,3,WA/OR
68,68.1,Compulsory,12.905331929887485,-124.393948,47.250061,1,10,transit,16.025149781184517,4377.566214668209,0.13071014994949767,34.03735788777409,3,WA/OR
69,69.1,Compulsory,12.887453615044727,-124.528914,47.50077,1,9.5,survey,66.75915941550477,4444.3253740837135,0.545280716298415,34.58263860407251,3,WA/OR
69,69.2,Compulsory,12.887453615044727,-126.169608,47.486731,1,10,transit,15.78656019366456,4460.111934277378,0.12894270877068936,34.711581312843194,3,WA/OR
70,70.2,Compulsory,12.86957530020197,-126.287605,47.737294,1,9.5,survey,66.5255086871397,4526.637442964518,0.54412713408283,35.25570844692602,3,WA/OR
70,70.1,Compulsory,12.86957530020197,-124.644822,47.750668,1,10,transit,16.40357992964258,4543.041022894161,0.13416857851912214,35.389877025445145,3,WA/OR
71,71.1,Compulsory,12.851696985359212,-124.797866,48.003752,1,9.5,survey,63.657855614610426,4606.698878508771,0.5213962727595235,35.91127329820467,3,WA/OR
71,71.2,Compulsory,12.851696985359212,-126.377421,47.988304,1,10,transit,15.770034020761406,4622.468912529533,0.12916610024527292,36.04043939844994,3,WA/OR
72,72.2,Compulsory,12.833818670516454,-126.493083,48.239287,1,9.5,survey,66.91076427025668,4689.379676799789,0.548803012186716,36.58924241063666,3,WA/OR
72,72.1,Compulsory,12.833818670516454,-124.824689,48.255482,1,10,transit,15.60525719501739,4704.984933994807,0.1279945349298745,36.71723694556653,3,WA/OR
73,73.1,Compulsory,12.815940355673696,-124.734621,48.508368,1,9.5,survey,82.14217790307464,4787.127111897881,0.6746711362932515,37.39190808185978,3,Vancouver Is.
73,73.2,Compulsory,12.815940355673696,-126.792929,48.488722,1,10,transit,63.34587991781548,4850.472991815696,0.5202885761572767,37.91219665801706,3,Vancouver Is.
75,75.1,Compulsory,12.78018372598818,-125.270861,48.797974,1,9.5,survey,16.57269730607555,4867.045689121772,0.13649995107063487,38.0486966090877,3,Vancouver Is.
75,75.2,Compulsory,12.78018372598818,-125.53432,48.584072,1,10,transit,19.652659006979842,4886.698348128752,0.16186785671136245,38.21056446579906,3,Vancouver Is.
76,76.2,Adaptive,12.762305411145425,-126.027567,48.579364,1,9.5,survey,26.901801598218377,4913.600149726971,0.22188534892866132,38.43244981472772,3,Vancouver Is.
76,76.1,Adaptive,12.762305411145425,-125.591689,48.922361,1,10,transit,16.609234434649586,4930.20938416162,0.13699252685791233,38.569442341585635,3,Vancouver Is.
